symbol,model,accuracy,precision,recall,f1,roc_auc
0700.HK,logistic_regression,0.45517241379310347,0.4491525423728814,0.7910447761194029,0.572972972972973,0.4724454649827784
0700.HK,xgboost,0.4896551724137931,0.472,0.8805970149253731,0.6145833333333334,0.48507462686567165
0700.HK,cnn_specific,0.45774647887323944,0.45774647887323944,1.0,0.6280193236714976,0.5
0700.HK,cnn_universal,0.45,0.45,1.0,0.6206896551724138,0.5
BABA,logistic_regression,0.5202702702702703,0.0,0.0,0.0,0.5063105908176331
BABA,xgboost,0.4797297297297297,0.44,0.30985915492957744,0.36363636363636365,0.5053960124382659
BABA,cnn_specific,0.5172413793103449,0.0,0.0,0.0,0.5
BABA,cnn_universal,0.5244755244755245,0.0,0.0,0.0,0.5125490196078433
BIDU,logistic_regression,0.4864864864864865,0.46808510638297873,0.6285714285714286,0.5365853658536586,0.48296703296703297
BIDU,xgboost,0.5,0.47435897435897434,0.5285714285714286,0.5,0.5221611721611721
BIDU,cnn_specific,0.5310344827586206,0.0,0.0,0.0,0.5
BIDU,cnn_universal,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421,0.5
GOOGL,logistic_regression,0.40540540540540543,0.3963963963963964,0.676923076923077,0.5,0.4620945319740501
GOOGL,xgboost,0.47297297297297297,0.44537815126050423,0.8153846153846154,0.5760869565217391,0.5245597775718258
GOOGL,cnn_specific,0.5724137931034483,1.0,0.015873015873015872,0.03125,0.5079365079365079
GOOGL,cnn_universal,0.42657342657342656,0.42657342657342656,1.0,0.5980392156862745,0.5
MSFT,logistic_regression,0.4864864864864865,0.46153846153846156,0.8059701492537313,0.5869565217391305,0.4918002579694122
MSFT,xgboost,0.4527027027027027,0.4186046511627907,0.5373134328358209,0.47058823529411764,0.4857195503961673
MSFT,cnn_specific,0.5517241379310345,0.0,0.0,0.0,0.5
MSFT,cnn_universal,0.44755244755244755,0.44755244755244755,1.0,0.6183574879227053,0.5
NVDA,logistic_regression,0.49324324324324326,0.4918032786885246,0.821917808219178,0.6153846153846154,0.4988127853881279
NVDA,xgboost,0.5405405405405406,0.5257731958762887,0.6986301369863014,0.6,0.5435616438356164
NVDA,cnn_specific,0.496551724137931,0.496551724137931,1.0,0.663594470046083,0.5
NVDA,cnn_universal,0.48951048951048953,0.48951048951048953,1.0,0.6572769953051644,0.4631115459882584
