symbol,scenario_name,feature_set,model_name,feature_count,train_rows,accuracy,f1,roc_auc,prediction_positive_ratio,test_rows
0700.HK,ssm_numeric_only_logistic_regression,numeric_only,logistic_regression,17,576,0.4828,0.5665,0.5262,0.731,145
0700.HK,ssm_numeric_only_xgboost,numeric_only,xgboost,17,576,0.4828,0.6231,0.5149,0.9103,145
BABA,ssm_numeric_only_logistic_regression,numeric_only,logistic_regression,17,588,0.5203,0.0,0.4642,0.0,148
BABA,ssm_numeric_only_xgboost,numeric_only,xgboost,17,588,0.4797,0.4031,0.4723,0.3919,148
BIDU,ssm_numeric_only_logistic_regression,numeric_only,logistic_regression,17,588,0.4459,0.5233,0.5114,0.6892,148
BIDU,ssm_numeric_only_xgboost,numeric_only,xgboost,17,588,0.5203,0.517,0.5361,0.5203,148
GOOGL,ssm_numeric_only_logistic_regression,numeric_only,logistic_regression,17,588,0.4797,0.5444,0.4615,0.7027,148
GOOGL,ssm_numeric_only_xgboost,numeric_only,xgboost,17,588,0.4595,0.5349,0.5025,0.723,148
MSFT,ssm_numeric_only_logistic_regression,numeric_only,logistic_regression,17,588,0.4527,0.5424,0.4944,0.7432,148
MSFT,ssm_numeric_only_xgboost,numeric_only,xgboost,17,588,0.4595,0.4805,0.4627,0.5878,148
NVDA,ssm_numeric_only_logistic_regression,numeric_only,logistic_regression,17,588,0.5,0.6186,0.4913,0.8176,148
NVDA,ssm_numeric_only_xgboost,numeric_only,xgboost,17,588,0.5405,0.6,0.5374,0.6554,148
